model,text,y_true,y_pred
Qwen/Qwen2.5-0.5B-Instruct,There is a duplicate payment on my card. Why?,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,I could not transfer to a beneficiary,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Whats the reason for my payment being declined? It looked like everything went through ok and my account was good.,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,What steps do I need to take to exchange currencies?,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Can you tell me about the exchange fee?,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,Why do I have two charges It should only be one charge?,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,I have a card payment that has been pending for some time and would like to know when it is going to go through.,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,where can i located the auto top up function?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,I used my card to top up but it's saying it is still pending. What does this mean?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,Why is there an extra charge on my statement.,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,will you be able to activate my card,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,I'm having trouble proving my identity,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,I used an ATM and wanted to know why I was charged an extra fee.,Payments,Account
Qwen/Qwen2.5-0.5B-Instruct,Everytime I try to prove my identity it won't let me.,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,How long does it take for a transfer to reach my account?,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Can I use google pay to top up?,Topups,Payments
Qwen/Qwen2.5-0.5B-Instruct,"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and was declined?",Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,There is a vendor name I don't recognize on a payment from my account. I don't think I made this payment.,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,How do I go about ordering another card?,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,My money I had was gone and I could not get gas!,Topups,Disputes
Qwen/Qwen2.5-0.5B-Instruct,"I double checked that I have the correct account details already, they're right for sure. Transfer is still pending since forever. It should not have been done so.",Transfers,Account
Qwen/Qwen2.5-0.5B-Instruct,I am interested in a Visa or Mastercard. Do you offer them?,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,"Please, tell me why I can't have the funds I deposited a week ago? I need the money now.",Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I managed to drunken block my card :(( Help!,Account,Disputes
Qwen/Qwen2.5-0.5B-Instruct,How long will it be  before the person I sent money to is able to see it?,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Am I able to get this shipped to China?,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,There was an extra fee when I paid with the card.,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,I keep checking my statements but nothing shows up.I requested a refund a long time ago but seems like it's not submitting my account for some reason. Can you please help me get the money back from the seller for me,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,Why am I being charged a hidden fee?,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,I received the wrong amount of cash.,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,"I got this stupid fee after taking cash out, why?",Payments,Disputes
Qwen/Qwen2.5-0.5B-Instruct,An ATM swallowed my credit card!,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,What happens if a merchant doesn't accept  you payment?,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,I used my card and there was a fee,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,How would I be able to make changes to my personal details?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,My card is stolen.  Help!,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,What do I do if my phone is stolen?,Account,Disputes
Qwen/Qwen2.5-0.5B-Instruct,"I usually don't get charged for transfers, why was I this month?",Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,How do I deposit cash?,Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Is there a way to get a virtual card?,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,I tried to transfer some money and it hasn't done it yet - what's going on?,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I can't get the top-up to work! What's going on here.,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,i have yet to get my pin,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,I made a transaction at an atm and was charged extra for it.,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I am still currently waiting for the cash that has been deposited into the account this morning.,Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,How do I find the code needed in order to verify my top-up card?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,is apple pay a top up service?,Topups,Payments
Qwen/Qwen2.5-0.5B-Instruct,The money that I have transferred hasn't arrived yet.,Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,do i need to wait to get my card before getting a pin,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,"If my top-up didn't transfer, what went wrong?",Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,"I have received my statement but I do not see my refund, why is that?",Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,What is this strange payment in my account?,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Where can I get your exchange rates from?,Payments,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I would like to know where the funds are at.,Account,Transfers
Qwen/Qwen2.5-0.5B-Instruct,"This company is bad, delete my account now.",Account,Account
Qwen/Qwen2.5-0.5B-Instruct,Is there a money transfer fee?,Transfers,Payments
Qwen/Qwen2.5-0.5B-Instruct,How do I report a cash withdrawal that wasn't me?,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,My account shows a direct debit charge that I have never seen before,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,when will the balance on my account change form a transfer,Topups,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I need to check status as my friend hasn't got money I sent.,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,When will my card be here?,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,How do I top up on my card?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,Is there an age limit for opening an account?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,Duplicate transactions appear on my account,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Can I use my account although the identity verification has not been accepted yet?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,I was made to pay an additional pound!,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,when will my transfer arrive,Transfers,Payments
Qwen/Qwen2.5-0.5B-Instruct,I think someone stole money from my card,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I think I forgot my passcode,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,I want to get my hands on one of those virtual cards!,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,Is there a charge for sending out more cards?,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,Got only $20 when I tried to withdraw $100.,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,My disposable virtual card won't work.,Cards,Account
Qwen/Qwen2.5-0.5B-Instruct,how do i find top up for cash deposit,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,Why hasn't my ID been verified?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,Can I use an auto top-up option?,Topups,Topups
Qwen/Qwen2.5-0.5B-Instruct,There is a payment that i made that i noticed has not gone thru yet. Can i ask why?,Payments,Payments
Qwen/Qwen2.5-0.5B-Instruct,Are there limits to businesses that will accept this card?,Payments,Cards
Qwen/Qwen2.5-0.5B-Instruct,Do I have to go to an actual bank to change my PIN?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,I'm suddenly getting an error while attempting a transfer that it isn't possible. Why? I've done it before.,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,Why can't the recepient of my money transaction see it?,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,What is identity check?,Account,Account
Qwen/Qwen2.5-0.5B-Instruct,What is the limit on disposable cards?,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,The rate applied to my foreign currency at an ATM was incorrect.,Disputes,Transfers
Qwen/Qwen2.5-0.5B-Instruct,"I'm waiting for a money transfer to show, still.",Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I messed up and made a transaction using the wrong account.,Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,I have just read my statement and there is a payment I don't recognise.,Disputes,Payments
Qwen/Qwen2.5-0.5B-Instruct,Can you tell me what cards and currencies you support?,Cards,Cards
Qwen/Qwen2.5-0.5B-Instruct,How much longer is it going to take to get my new card?,Cards,Payments
Qwen/Qwen2.5-0.5B-Instruct,"I want to do a bank transfer to this bank, from an account at another bank.",Transfers,Transfers
Qwen/Qwen2.5-0.5B-Instruct,What type of fiat currencies do you support?,Payments,Payments
