text,label
There is a duplicate payment on my card. Why?,Disputes
I could not transfer to a beneficiary,Transfers
Whats the reason for my payment being declined? It looked like everything went through ok and my account was good.,Payments
What steps do I need to take to exchange currencies?,Payments
Can you tell me about the exchange fee?,Payments
Why do I have two charges It should only be one charge?,Disputes
I have a card payment that has been pending for some time and would like to know when it is going to go through.,Payments
where can i located the auto top up function?,Topups
I used my card to top up but it's saying it is still pending. What does this mean?,Topups
Why is there an extra charge on my statement.,Disputes
will you be able to activate my card,Cards
I'm having trouble proving my identity,Account
I used an ATM and wanted to know why I was charged an extra fee.,Payments
Everytime I try to prove my identity it won't let me.,Account
How long does it take for a transfer to reach my account?,Transfers
Can I use google pay to top up?,Topups
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and was declined?",Disputes
There is a vendor name I don't recognize on a payment from my account. I don't think I made this payment.,Disputes
How do I go about ordering another card?,Cards
My money I had was gone and I could not get gas!,Topups
"I double checked that I have the correct account details already, they're right for sure. Transfer is still pending since forever. It should not have been done so.",Transfers
I am interested in a Visa or Mastercard. Do you offer them?,Cards
"Please, tell me why I can't have the funds I deposited a week ago? I need the money now.",Topups
I managed to drunken block my card :(( Help!,Account
How long will it be  before the person I sent money to is able to see it?,Transfers
Am I able to get this shipped to China?,Cards
There was an extra fee when I paid with the card.,Payments
I keep checking my statements but nothing shows up.I requested a refund a long time ago but seems like it's not submitting my account for some reason. Can you please help me get the money back from the seller for me,Disputes
Why am I being charged a hidden fee?,Payments
I received the wrong amount of cash.,Disputes
"I got this stupid fee after taking cash out, why?",Payments
An ATM swallowed my credit card!,Cards
What happens if a merchant doesn't accept  you payment?,Disputes
I used my card and there was a fee,Payments
How would I be able to make changes to my personal details?,Account
My card is stolen.  Help!,Account
What do I do if my phone is stolen?,Account
"I usually don't get charged for transfers, why was I this month?",Transfers
How do I deposit cash?,Topups
Is there a way to get a virtual card?,Cards
I tried to transfer some money and it hasn't done it yet - what's going on?,Transfers
I can't get the top-up to work! What's going on here.,Topups
i have yet to get my pin,Cards
I made a transaction at an atm and was charged extra for it.,Payments
I am still currently waiting for the cash that has been deposited into the account this morning.,Topups
How do I find the code needed in order to verify my top-up card?,Topups
is apple pay a top up service?,Topups
The money that I have transferred hasn't arrived yet.,Topups
do i need to wait to get my card before getting a pin,Cards
"If my top-up didn't transfer, what went wrong?",Topups
"I have received my statement but I do not see my refund, why is that?",Disputes
What is this strange payment in my account?,Disputes
Where can I get your exchange rates from?,Payments
I would like to know where the funds are at.,Account
"This company is bad, delete my account now.",Account
Is there a money transfer fee?,Transfers
How do I report a cash withdrawal that wasn't me?,Disputes
My account shows a direct debit charge that I have never seen before,Disputes
when will the balance on my account change form a transfer,Topups
I need to check status as my friend hasn't got money I sent.,Transfers
When will my card be here?,Cards
How do I top up on my card?,Topups
Is there an age limit for opening an account?,Account
Duplicate transactions appear on my account,Disputes
Can I use my account although the identity verification has not been accepted yet?,Account
I was made to pay an additional pound!,Disputes
when will my transfer arrive,Transfers
I think someone stole money from my card,Disputes
I think I forgot my passcode,Account
I want to get my hands on one of those virtual cards!,Cards
Is there a charge for sending out more cards?,Cards
Got only $20 when I tried to withdraw $100.,Disputes
My disposable virtual card won't work.,Cards
how do i find top up for cash deposit,Topups
Why hasn't my ID been verified?,Account
Can I use an auto top-up option?,Topups
There is a payment that i made that i noticed has not gone thru yet. Can i ask why?,Payments
Are there limits to businesses that will accept this card?,Payments
Do I have to go to an actual bank to change my PIN?,Account
I'm suddenly getting an error while attempting a transfer that it isn't possible. Why? I've done it before.,Transfers
Why can't the recepient of my money transaction see it?,Transfers
What is identity check?,Account
What is the limit on disposable cards?,Cards
The rate applied to my foreign currency at an ATM was incorrect.,Disputes
"I'm waiting for a money transfer to show, still.",Transfers
I messed up and made a transaction using the wrong account.,Transfers
I have just read my statement and there is a payment I don't recognise.,Disputes
Can you tell me what cards and currencies you support?,Cards
How much longer is it going to take to get my new card?,Cards
"I want to do a bank transfer to this bank, from an account at another bank.",Transfers
What type of fiat currencies do you support?,Payments
