text,label
I am still waiting on my card?,Cards
What can I do if my card still hasn't arrived after 2 weeks?,Cards
I have been waiting over a week. Is the card still coming?,Cards
Can I track my card while it is in the process of delivery?,Cards
"How do I know if I will get my card, or if it is lost?",Cards
When did you send me my new card?,Cards
Do you have info about the card on delivery?,Cards
What do I do if I still have not received my new card?,Cards
Does the package with my card have tracking?,Cards
I ordered my card but it still isn't here,Cards
Why has my new card still not come?,Cards
"I still haven't received my card after two weeks, is it lost?",Cards
Can you track my card for me?,Cards
Is there a way to track the delivery of my card?,Cards
It's been a week since I ordered my card and it's not here. Please help?,Cards
Will I be able to track the card that was sent to me?,Cards
I don't have my card in 1 week.  Should I be worried?,Cards
How do I know when my new card is going to arrive?,Cards
My new card has not been delivered to my home yet. What is going on?,Cards
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,Cards
"On the card that is coming, what's the tracking info?",Cards
What is the status of my card's delivery?,Cards
Have you sent out my card yet?,Cards
My card isn't here yet.,Cards
where is my new card?,Cards
It's been a week since you sent my card and I still don't have it.,Cards
How do I track the card you sent me?,Cards
When will I recieve my new card?,Cards
When will I get my new card?,Cards
What is the expected delivery date for my card?,Cards
Is there a tracking number for the card you sent me?,Cards
I would like to track the card you sent to me.,Cards
Has my card been lost in delivery?,Cards
My new card hasn't came in.,Cards
Where is the card I ordered 2 weeks ago?,Cards
Can I get an update on my replacement card?,Cards
How long does it take for a new card to ship?,Cards
What's the tracking on the card you sent?,Cards
I haven't received my card and am worried it is lost.,Cards
My card still hasn't been delivered,Cards
I need to find out where the card is that I ordered.,Cards
Where is my credit card that was to be mailed?,Cards
I ordered my card but it hasn't been delivered yet,Cards
Am I able to track the card that was just sent to me?,Cards
Can you tell me why I haven't received my new card?,Cards
I'm still waiting for my new card.,Cards
Is my card lost? I am still waiting for it to be delivered.,Cards
Should I keep waiting for my card to be delivered?,Cards
Can I track when my card will be delivered?,Cards
How can I check on the status of my new card?,Cards
"A card has been sent to me, how do I track it?",Cards
Is there a way I can get my card expedited?,Cards
What can I do to track the card you sent me?,Cards
why hasnt my card come in yet?,Cards
How can I periodically check the delivery of the card you sent?,Cards
What's the reason my new card hasn't come?,Cards
How long does it take for me to get my new card?,Cards
I don't have my card after 1 week. What are my next steps?,Cards
