model,text,y_true,y_pred
qwen2.5:3b-instruct-q4_K_M,There is a duplicate payment on my card. Why?,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,I could not transfer to a beneficiary,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,Whats the reason for my payment being declined? It looked like everything went through ok and my account was good.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,What steps do I need to take to exchange currencies?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,Can you tell me about the exchange fee?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,Why do I have two charges It should only be one charge?,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,I have a card payment that has been pending for some time and would like to know when it is going to go through.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,where can i located the auto top up function?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,I used my card to top up but it's saying it is still pending. What does this mean?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Why is there an extra charge on my statement.,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,will you be able to activate my card,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,I'm having trouble proving my identity,Account,Account
qwen2.5:3b-instruct-q4_K_M,I used an ATM and wanted to know why I was charged an extra fee.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,Everytime I try to prove my identity it won't let me.,Account,Account
qwen2.5:3b-instruct-q4_K_M,How long does it take for a transfer to reach my account?,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,Can I use google pay to top up?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and was declined?",Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,There is a vendor name I don't recognize on a payment from my account. I don't think I made this payment.,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,How do I go about ordering another card?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,My money I had was gone and I could not get gas!,Topups,Payments
qwen2.5:3b-instruct-q4_K_M,"I double checked that I have the correct account details already, they're right for sure. Transfer is still pending since forever. It should not have been done so.",Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,I am interested in a Visa or Mastercard. Do you offer them?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,"Please, tell me why I can't have the funds I deposited a week ago? I need the money now.",Topups,Topups
qwen2.5:3b-instruct-q4_K_M,I managed to drunken block my card :(( Help!,Account,Account
qwen2.5:3b-instruct-q4_K_M,How long will it be  before the person I sent money to is able to see it?,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,Am I able to get this shipped to China?,Cards,Payments
qwen2.5:3b-instruct-q4_K_M,There was an extra fee when I paid with the card.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,I keep checking my statements but nothing shows up.I requested a refund a long time ago but seems like it's not submitting my account for some reason. Can you please help me get the money back from the seller for me,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,Why am I being charged a hidden fee?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,I received the wrong amount of cash.,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,"I got this stupid fee after taking cash out, why?",Payments,Payments
qwen2.5:3b-instruct-q4_K_M,An ATM swallowed my credit card!,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,What happens if a merchant doesn't accept  you payment?,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,I used my card and there was a fee,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,How would I be able to make changes to my personal details?,Account,Account
qwen2.5:3b-instruct-q4_K_M,My card is stolen.  Help!,Account,Cards
qwen2.5:3b-instruct-q4_K_M,What do I do if my phone is stolen?,Account,Account
qwen2.5:3b-instruct-q4_K_M,"I usually don't get charged for transfers, why was I this month?",Transfers,Payments
qwen2.5:3b-instruct-q4_K_M,How do I deposit cash?,Topups,Payments
qwen2.5:3b-instruct-q4_K_M,Is there a way to get a virtual card?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,I tried to transfer some money and it hasn't done it yet - what's going on?,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,I can't get the top-up to work! What's going on here.,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,i have yet to get my pin,Cards,Account
qwen2.5:3b-instruct-q4_K_M,I made a transaction at an atm and was charged extra for it.,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,I am still currently waiting for the cash that has been deposited into the account this morning.,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,How do I find the code needed in order to verify my top-up card?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,is apple pay a top up service?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,The money that I have transferred hasn't arrived yet.,Topups,Transfers
qwen2.5:3b-instruct-q4_K_M,do i need to wait to get my card before getting a pin,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,"If my top-up didn't transfer, what went wrong?",Topups,Topups
qwen2.5:3b-instruct-q4_K_M,"I have received my statement but I do not see my refund, why is that?",Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,What is this strange payment in my account?,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,Where can I get your exchange rates from?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,I would like to know where the funds are at.,Account,Account
qwen2.5:3b-instruct-q4_K_M,"This company is bad, delete my account now.",Account,Account
qwen2.5:3b-instruct-q4_K_M,Is there a money transfer fee?,Transfers,Payments
qwen2.5:3b-instruct-q4_K_M,How do I report a cash withdrawal that wasn't me?,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,My account shows a direct debit charge that I have never seen before,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,when will the balance on my account change form a transfer,Topups,Account
qwen2.5:3b-instruct-q4_K_M,I need to check status as my friend hasn't got money I sent.,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,When will my card be here?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,How do I top up on my card?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Is there an age limit for opening an account?,Account,Account
qwen2.5:3b-instruct-q4_K_M,Duplicate transactions appear on my account,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,Can I use my account although the identity verification has not been accepted yet?,Account,Account
qwen2.5:3b-instruct-q4_K_M,I was made to pay an additional pound!,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,when will my transfer arrive,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,I think someone stole money from my card,Disputes,Disputes
qwen2.5:3b-instruct-q4_K_M,I think I forgot my passcode,Account,Account
qwen2.5:3b-instruct-q4_K_M,I want to get my hands on one of those virtual cards!,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,Is there a charge for sending out more cards?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,Got only $20 when I tried to withdraw $100.,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,My disposable virtual card won't work.,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,how do i find top up for cash deposit,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,Why hasn't my ID been verified?,Account,Account
qwen2.5:3b-instruct-q4_K_M,Can I use an auto top-up option?,Topups,Topups
qwen2.5:3b-instruct-q4_K_M,There is a payment that i made that i noticed has not gone thru yet. Can i ask why?,Payments,Payments
qwen2.5:3b-instruct-q4_K_M,Are there limits to businesses that will accept this card?,Payments,Cards
qwen2.5:3b-instruct-q4_K_M,Do I have to go to an actual bank to change my PIN?,Account,Account
qwen2.5:3b-instruct-q4_K_M,I'm suddenly getting an error while attempting a transfer that it isn't possible. Why? I've done it before.,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,Why can't the recepient of my money transaction see it?,Transfers,Transfers
qwen2.5:3b-instruct-q4_K_M,What is identity check?,Account,Account
qwen2.5:3b-instruct-q4_K_M,What is the limit on disposable cards?,Cards,Cards
qwen2.5:3b-instruct-q4_K_M,The rate applied to my foreign currency at an ATM was incorrect.,Disputes,Payments
qwen2.5:3b-instruct-q4_K_M,"I'm waiting for a money transfer to show, still.",Transfers,Transfers
